skill,capability,owner,primary_hosts,branch_hashes,drift_type,recommendation,notes
hermes-gateway-image-routing,ROUTING,OPENCLAW,HERMES|AAA,"{""HERMES"": ""332eab75f75df866"", ""AAA"": ""044903583bf02063""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AAA-voice-cloning-mimo-minimax,MULTIMODAL_PERCEPTION,HERMES,HERMES|AAA,"{""HERMES"": ""e17215e890efbabe"", ""AAA"": ""ee22191bcf9e98b2""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
ASI-agentic-architecture,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""5e827883aa4f5b4a"", ""AAA"": ""cfe03ed12e41f857""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
arifos-constitutional-judge,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""0eb3d68ced32e572"", ""AAA"": ""653b3596b2bf8fd2""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
KERNEL-trinity-33,GOVERNANCE,AAA,HERMES|AAA,"{""HERMES"": ""2c45f189966deee1"", ""AAA"": ""feed34faf1f01c1d""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-incident-triage,RESEARCH,HERMES,HERMES|KIMI,"{""HERMES"": ""3a130a6f3d421094"", ""KIMI"": ""d5f3c438c138bfc9""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
federation-release-attestation,CODING,A2M,HERMES|AAA,"{""HERMES"": ""c426936d970c1f2d"", ""AAA"": ""eecafeba08c1514c""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
arifos-kernel-zen-audit,GOVERNANCE,AAA,HERMES|AAA,"{""HERMES"": ""d26d39ce093313d0"", ""AAA"": ""3d440e65dcb8eeb2""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
aaa-pdf-voice-protocol,MULTIMODAL_PERCEPTION,HERMES,HERMES|AAA,"{""HERMES"": ""5f3d02096e50a93d"", ""AAA"": ""db5d3ee7794085a1""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-google-workspace,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""d9c01a9fa53862a9"", ""AAA"": ""d04d987e314d5581""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
